year,brand,count
2016,AB KAWASAKI,2
2016,ABARTH,1
2016,ALFA ROMEO,1507
2016,ALPINA,72
2016,ASTON MARTIN,127
2016,AUDI,19586
2016,AUSTIN,1
2016,BENTLEY,222
2016,BMW,24717
2016,BUGATTI,3
2016,CADILLAC,229
2016,CATERHAM,27
2016,CHEVROLET,248
2016,CHRYSLER,7
2016,CITROEN,9042
2016,CITROEN-DANGEL,2
2016,DACIA,7397
2016,DODGE,160
2016,DONKERVOORT,1
2016,DS,29
2016,FERRARI,372
2016,FIAT,8763
2016,FISKER,1
2016,FORD,12571
2016,FORD ECONOLINE,1
2016,FORD-CNG-TECHNIK,505
2016,GMC,3
2016,HONDA,4772
2016,HYUNDAI,9077
2016,INFINITI,620
2016,JAGUAR,1792
2016,JEEP,3269
2016,JUMBOLINO,3
2016,KIA,5479
2016,KTM,2
2016,LADA,9
2016,LAMBORGHINI,99
2016,LANCIA,84
2016,LAND ROVER,3936
2016,LEXUS,859
2016,LOTUS,95
2016,MASERATI,785
2016,MAZDA,10175
2016,MC LAREN,86
2016,MERCEDES-AMG,569
2016,MERCEDES-BENZ,23281
2016,MERCEDES-BENZ-HYMER,1
2016,MERCEDES-BENZ-WEINSBERG,1
2016,MICRO COMPACT CAR,2
2016,MINI,5271
2016,MITSUBISHI,3875
2016,MORGAN,19
2016,MUSTANG,2
2016,NISSAN,6048
2016,OPEL,13200
2016,PAGANI,1
2016,PEUGEOT,10393
2016,PGO,1
2016,PORSCHE,4237
2016,RADICAL SPORTSCARS,1
2016,RELIANT,1
2016,RENAULT,14345
2016,ROLLS ROYCE,48
2016,ROOS,1
2016,ROVER,1
2016,SAAB,1
2016,SEAT,10138
2016,SECMA,3
2016,SKODA,21060
2016,SMART,2770
2016,SSANGYONG,966
2016,STIMBO,2
2016,SUBARU,5421
2016,SUZUKI,7659
2016,TAZZARI,4
2016,TESLA,1705
2016,TOYO-KOGYO,1
2016,TOYOTA,10454
2016,UEBRIGE (SIEHE TYP),14
2016,VOLVO,7133
2016,VW,42162
2016,VW-MAN,1
2017,AB KAWASAKI,2
2017,ALFA ROMEO,3286
2017,ALPINA,52
2017,ALVIS,1
2017,ASTON MARTIN,217
2017,AUDI,20600
2017,BENTLEY,263
2017,BMW,24874
2017,BMW/ALPINA,1
2017,BUGATTI,2
2017,CADILLAC,217
2017,CATERHAM,27
2017,CHEVROLET,355
2017,CHRYSLER,27
2017,CITROEN,7685
2017,CITROEN-DANGEL,18
2017,DACIA,8533
2017,DODGE,242
2017,DS,63
2017,FERRARI,356
2017,FIAT,10346
2017,FORD,13443
2017,FORD ECONOLINE,1
2017,FORD-CNG-TECHNIK,446
2017,HONDA,3977
2017,HYUNDAI,8599
2017,INFINITI,286
2017,IVECO,2
2017,JAGUAR,1294
2017,JEEP,3459
2017,JUMBOLINO,6
2017,KIA,3838
2017,KTM,1
2017,LADA,23
2017,LAMBORGHINI,90
2017,LANCIA,4
2017,LAND ROVER,3540
2017,LEXUS,690
2017,LINCOLN,2
2017,LOTUS,92
2017,MASERATI,916
2017,MAZDA,7875
2017,MC LAREN,67
2017,MERCEDES-ADRIA,1
2017,MERCEDES-AMG,451
2017,MERCEDES-BENZ,25631
2017,MERCEDES-BENZ-HYMER,1
2017,MINI,5690
2017,MITSUBISHI,3076
2017,MORGAN,17
2017,NISSAN,6401
2017,OPEL,14046
2017,PAGANI,2
2017,PEUGEOT,10210
2017,PEUGEOT-DANGEL,3
2017,PGO,1
2017,PORSCHE,3959
2017,PRINOTH,1
2017,QUATTRO,1
2017,RADICAL SPORTSCARS,1
2017,RENAULT,13914
2017,ROLLS ROYCE,39
2017,ROVER,4
2017,SAAB,1
2017,SEAT,12058
2017,SECMA,2
2017,SKODA,20591
2017,SMART,2328
2017,SSANGYONG,805
2017,STIMBO,3
2017,SUBARU,4988
2017,SUZUKI,8231
2017,TAZZARI,1
2017,TESLA,2025
2017,TOYOTA,10386
2017,UEBRIGE (SIEHE TYP),6
2017,VOLVO,7508
2017,VW,35986
2018,ABARTH,1
2018,ALFA ROMEO,3617
2018,ALPINA,58
2018,ALPINE,146
2018,ASTON MARTIN,165
2018,AUDI,18366
2018,BENTLEY,221
2018,BMW,24248
2018,BORGWARD,2
2018,BUGATTI,7
2018,CADILLAC,230
2018,CATERHAM,23
2018,CHEVROLET,256
2018,CHRYSLER,49
2018,CITROEN,6752
2018,CITROEN-DANGEL,12
2018,DACIA,8273
2018,DODGE,218
2018,DONKERVOORT,1
2018,DS,395
2018,FERRARI,377
2018,FFW,5
2018,FIAT,9165
2018,FIAT-ABARTH,1
2018,FORD,14721
2018,FORD-CNG-TECHNIK,465
2018,GMC,2
2018,HONDA,3704
2018,HYUNDAI,8207
2018,INFINITI,128
2018,JAGUAR,1960
2018,JEEP,4849
2018,JUMBOLINO,3
2018,KIA,4875
2018,KTM,8
2018,LADA,10
2018,LAMBORGHINI,143
2018,LANCIA,3
2018,LAND ROVER,3807
2018,LEXUS,733
2018,LINCOLN,3
2018,LOTUS,67
2018,MAN,1
2018,MASERATI,600
2018,MAZDA,6230
2018,MC LAREN,100
2018,MERCEDES-AMG,393
2018,MERCEDES-BENZ,25266
2018,MINI,5713
2018,MITSUBISHI,4549
2018,MORGAN,18
2018,MUSTANG,2
2018,NISSAN,4721
2018,OPEL,11931
2018,PEUGEOT,9701
2018,PEUGEOT-ALKO,1
2018,PEUGEOT-DANGEL,7
2018,PORSCHE,3561
2018,RENAULT,12790
2018,RENAULT-SPORT,1
2018,ROLLS ROYCE,43
2018,ROOS,6
2018,ROVER,3
2018,SAAB,1
2018,SEAT,11471
2018,SECMA,4
2018,SKODA,19159
2018,SMART,2025
2018,SSANGYONG,774
2018,STIMBO,1
2018,SUBARU,4683
2018,SUZUKI,7679
2018,TESLA,1464
2018,TOYOTA,9571
2018,UEBRIGE (SIEHE TYP),11
2018,VOLVO,8122
2018,VOLVO-T,1
2018,VW,32951
2018,WIESMANN,1
2018,YAMAHA,1
2019,ALFA ROMEO,2882
2019,ALPINA,55
2019,ALPINE,183
2019,ASTON MARTIN,180
2019,AUDI,18703
2019,BENTLEY,230
2019,BMW,24837
2019,BUGATTI,11
2019,CADILLAC,115
2019,CAN-AM,4
2019,CATERHAM,17
2019,CHEVROLET,408
2019,CHRYSLER,25
2019,CITROEN,6103
2019,CITROEN-DANGEL,5
2019,DACIA,7974
2019,DALLARA,4
2019,DODGE,378
2019,DS,519
2019,EDSEL,1
2019,FACEL-VEGA,1
2019,FERRARI,414
2019,FFW,10
2019,FIAT,8387
2019,FIAT-ABARTH,1
2019,FORD,13788
2019,FORD-CNG-TECHNIK,362
2019,HONDA,4062
2019,HYUNDAI,8687
2019,INFINITI,126
2019,IVECO,3
2019,JAC,4
2019,JAGUAR,2221
2019,JEEP,5141
2019,JUMBOLINO,3
2019,KIA,4509
2019,KLINGLER,1
2019,KTM,3
2019,LADA,2
2019,LAMBORGHINI,224
2019,LANCIA,2
2019,LAND ROVER,3982
2019,LEXUS,934
2019,LINCOLN,2
2019,LOTUS,64
2019,MAN,8
2019,MASERATI,376
2019,MAZDA,6530
2019,MC LAREN,86
2019,MERCEDES-AMG,406
2019,MERCEDES-BENZ,26316
2019,MINI,4939
2019,MITSUBISHI,4307
2019,MORGAN,25
2019,NISSAN,4862
2019,OPEL,9846
2019,PAGANI,6
2019,PEUGEOT,8609
2019,PEUGEOT-DANGEL,6
2019,PORSCHE,3861
2019,PRINOTH,1
2019,RENAULT,11743
2019,ROLLS ROYCE,62
2019,ROVER,1
2019,SEAT,14369
2019,SKODA,24114
2019,SMART,1737
2019,SSANGYONG,792
2019,STIMBO,1
2019,SUBARU,4024
2019,SUZUKI,8424
2019,TAZZARI,1
2019,TESLA,6065
2019,TOYOTA,11050
2019,UEBRIGE (SIEHE TYP),14
2019,VOLVO,8863
2019,VW,34438
2019,YAMAHA,1
2020,AIWAYS,6
2020,ALFA ROMEO,1816
2020,ALPINA,61
2020,ALPINE,70
2020,ASTON MARTIN,122
2020,AUDI,14861
2020,BENTLEY,187
2020,BMW,21350
