brand,count
VW,304603
BMW,227052
MERCEDES-BENZ,223719
SKODA,207263
AUDI,184975
TOYOTA,113920
RENAULT,107702
FORD,105161
SEAT,86216
HYUNDAI,84184
VOLVO,80980
DACIA,77206
OPEL,74717
PEUGEOT,74277
FIAT,62191
SUZUKI,59365
TESLA,56975
MAZDA,56109
KIA,53312
CITROEN,48739
MINI,45844
PORSCHE,42500
NISSAN,37259
HONDA,31627
MITSUBISHI,30328
JEEP,30056
SUBARU,29468
CUPRA,29189
LAND ROVER,28030
ALFA ROMEO,19406
SMART,12487
JAGUAR,10801
LEXUS,7498
MG,4914
MASERATI,4797
FERRARI,4675
POLESTAR,4400
SSANGYONG,4218
DS,3816
MERCEDES-AMG,3676
FORD-CNG-TECHNIK,2073
GENESIS,2007
LAMBORGHINI,1988
BENTLEY,1964
CHEVROLET,1649
ASTON MARTIN,1623
DODGE,1559
CADILLAC,1388
BYD,1354
ALPINE,1279
INFINITI,1198
LEAPMOTOR,1189
JAC,931
LOTUS,687
ALPINA,682
KG MOBILITY,622
MC LAREN,590
ROLLS ROYCE,457
INEOS,246
ZEEKR,217
AIWAYS,209
MORGAN,183
CHRYSLER,171
CATERHAM,149
LUCID,148
MAN,143
UEBRIGE (SIEHE TYP),130
FISKER,118
ABARTH,111
SKYWELL,105
LANCIA,102
XPENG,102
SERES,82
VOYAH,74
BUGATTI,69
DONGFENG,68
CITROEN-DANGEL,47
BAIC,46
LADA,45
JUMBOLINO,39
DALLARA,31
KTM,29
PAGANI,25
MAXUS,23
PEUGEOT-DANGEL,21
STIMBO,19
FFW,15
CLUB CAR,13
ROVER,12
SECMA,12
SWM,10
GMC,10
IVECO,9
LINCOLN,7
ROOS,7
TAZZARI,6
BRP,6
CAN-AM,5
DONKERVOORT,5
MUSTANG,5
JIAYUAN,5
MERCEDES-ADRIA,5
SAAB,4
AB KAWASAKI,4
KLINGLER,4
BMW/ALPINA,3
AC-COBRA,3
RADICAL SPORTSCARS,2
JIALING,2
MERCEDES-BENZ-HYMER,2
BORGWARD,2
RIMAC,2
FIAT-ABARTH,2
MAYBACH,2
PRINOTH,2
DAIHATSU,2
MICRO COMPACT CAR,2
PGO,2
AUSTIN,2
FORD ECONOLINE,2
YAMAHA,2
NIO,2
OPEL-DANGEL,2
TOYO-KOGYO,1
KOENIG,1
FAVERO,1
TOURNEAU LE,1
ALVIS,1
OMODA,1
TRIUMPH,1
AUDI-NSU,1
VAUXHALL,1
VOLVO-T,1
ABT,1
VW-MAN,1
WIESMANN,1
ARIES,1
DFSK,1
FACEL-VEGA,1
PUMA,1
NIBBI,1
PEUGEOT-ALKO,1
CITROEN-POESSL,1
PININFARINA,1
PLYMOUTH,1
PONTIAC,1
CUSHMAN,1
QUATTRO,1
Avantier,1
RELIANT,1
MERCEDES-BENZ-WEINSBERG,1
RENAULT-SPORT,1
DAIMLER,1
NSU,1
MAHINDRA,1
EDSEL,1
HUMMER,1
