year,month,drive,count
2016,1,AWD,9069
2016,1,FWD,10368
2016,1,RWD,1090
2016,2,AWD,9586
2016,2,FWD,12012
2016,2,Other,1
2016,2,RWD,1087
2016,3,AWD,12570
2016,3,FWD,15119
2016,3,RWD,1491
2016,4,AWD,12600
2016,4,FWD,14436
2016,4,RWD,1642
2016,5,AWD,11352
2016,5,FWD,13206
2016,5,RWD,1460
2016,6,AWD,13085
2016,6,FWD,16561
2016,6,Other,5
2016,6,RWD,1629
2016,7,AWD,10919
2016,7,FWD,13822
2016,7,Other,1
2016,7,RWD,1327
2016,8,AWD,9802
2016,8,FWD,10818
2016,8,Other,5
2016,8,RWD,1251
2016,9,AWD,12197
2016,9,FWD,12747
2016,9,RWD,1246
2016,10,AWD,10919
2016,10,FWD,11464
2016,10,RWD,991
2016,11,AWD,12648
2016,11,FWD,12720
2016,11,RWD,989
2016,12,AWD,15755
2016,12,FWD,18228
2016,12,RWD,1312
2017,1,AWD,9625
2017,1,FWD,9067
2017,1,RWD,959
2017,2,AWD,10472
2017,2,FWD,11266
2017,2,Other,1
2017,2,RWD,1080
2017,3,AWD,14193
2017,3,FWD,14828
2017,3,RWD,1687
2017,4,AWD,12030
2017,4,FWD,12470
2017,4,RWD,1340
2017,5,AWD,12814
2017,5,FWD,14000
2017,5,RWD,1466
2017,6,AWD,14699
2017,6,FWD,15881
2017,6,Other,1
2017,6,RWD,1507
2017,7,AWD,11132
2017,7,FWD,12381
2017,7,RWD,1221
2017,8,AWD,10541
2017,8,FWD,11526
2017,8,RWD,1062
2017,9,AWD,12240
2017,9,FWD,11430
2017,9,RWD,968
2017,10,AWD,11994
2017,10,FWD,11763
2017,10,RWD,873
2017,11,AWD,13133
2017,11,FWD,12468
2017,11,RWD,1075
2017,12,AWD,16493
2017,12,FWD,13392
2017,12,RWD,1108
2018,1,AWD,11114
2018,1,FWD,10103
2018,1,RWD,834
2018,2,AWD,10866
2018,2,FWD,10434
2018,2,RWD,1046
2018,3,AWD,13943
2018,3,FWD,13255
2018,3,RWD,1128
2018,4,AWD,12602
2018,4,FWD,12645
