year,month,fuel_type,count
2016,1,BEV,241
2016,1,CNG,39
2016,1,Diesel,8660
2016,1,Diesel Hybrid,57
2016,1,PHEV,583
2016,1,Petrol,10947
2016,2,BEV,159
2016,2,CNG,62
2016,2,Diesel,9097
2016,2,Diesel Hybrid,66
2016,2,LPG,1
2016,2,PHEV,658
2016,2,Petrol,12643
2016,3,BEV,437
2016,3,CNG,55
2016,3,Diesel,10744
2016,3,Diesel Hybrid,78
2016,3,PHEV,880
2016,3,Petrol,16986
2016,4,BEV,242
2016,4,CNG,67
2016,4,Diesel,11172
2016,4,Diesel Hybrid,71
2016,4,PHEV,768
2016,4,Petrol,16358
2016,5,BEV,199
2016,5,CNG,77
2016,5,Diesel,10156
2016,5,Diesel Hybrid,58
2016,5,LPG,1
2016,5,PHEV,768
2016,5,Petrol,14759
2016,6,BEV,397
2016,6,CNG,98
2016,6,Diesel,12551
2016,6,Diesel Hybrid,54
2016,6,PHEV,846
2016,6,Petrol,17334
2016,7,BEV,146
2016,7,CNG,65
2016,7,Diesel,10525
2016,7,Diesel Hybrid,56
2016,7,PHEV,862
2016,7,Petrol,14415
2016,8,BEV,296
2016,8,CNG,53
2016,8,Diesel,8623
2016,8,Diesel Hybrid,32
2016,8,PHEV,720
2016,8,Petrol,12152
2016,9,BEV,490
2016,9,CNG,84
2016,9,Diesel,9941
2016,9,Diesel Hybrid,45
2016,9,LPG,1
2016,9,PHEV,1069
2016,9,Petrol,14560
2016,10,BEV,211
2016,10,CNG,150
2016,10,Diesel,9105
2016,10,Diesel Hybrid,40
2016,10,Hydrogen,10
2016,10,PHEV,828
2016,10,Petrol,13030
2016,11,BEV,180
2016,11,CNG,89
2016,11,Diesel,10423
2016,11,Diesel Hybrid,42
2016,11,PHEV,922
2016,11,Petrol,14701
2016,12,BEV,572
2016,12,CNG,97
2016,12,Diesel,13430
2016,12,Diesel Hybrid,36
2016,12,LPG,1
2016,12,PHEV,960
2016,12,Petrol,20199
2017,1,BEV,315
2017,1,CNG,46
2017,1,Diesel,8069
2017,1,Diesel Hybrid,22
2017,1,LPG,1
2017,1,PHEV,604
2017,1,Petrol,10594
2017,2,BEV,218
2017,2,CNG,52
2017,2,Diesel,8937
2017,2,Diesel Hybrid,26
2017,2,PHEV,698
2017,2,Petrol,12888
2017,3,BEV,595
2017,3,CNG,62
2017,3,Diesel,10901
2017,3,Diesel Hybrid,14
2017,3,PHEV,958
2017,3,Petrol,18178
2017,4,BEV,236
2017,4,CNG,45
2017,4,Diesel,9475
2017,4,Diesel Hybrid,15
2017,4,LPG,1
2017,4,PHEV,915
2017,4,Petrol,15153
2017,5,BEV,282
2017,5,CNG,55
2017,5,Diesel,10189
2017,5,Diesel Hybrid,26
2017,5,PHEV,984
2017,5,Petrol,16744
2017,6,BEV,506
2017,6,CNG,53
2017,6,Diesel,12117
2017,6,Diesel Hybrid,23
2017,6,PHEV,1158
2017,6,Petrol,18231
2017,7,BEV,267
2017,7,CNG,87
2017,7,Diesel,9217
2017,7,Diesel Hybrid,12
2017,7,Hydrogen,1
2017,7,PHEV,812
2017,7,Petrol,14338
2017,8,BEV,340
2017,8,CNG,62
2017,8,Diesel,7900
2017,8,Diesel Hybrid,21
2017,8,PHEV,980
2017,8,Petrol,13826
2017,9,BEV,566
2017,9,CNG,60
2017,9,Diesel,8337
2017,9,Diesel Hybrid,20
2017,9,PHEV,1199
2017,9,Petrol,14456
2017,10,BEV,373
2017,10,CNG,102
2017,10,Diesel,8323
2017,10,Diesel Hybrid,15
2017,10,PHEV,1023
2017,10,Petrol,14794
2017,11,BEV,731
2017,11,CNG,50
2017,11,Diesel,8530
2017,11,Diesel Hybrid,52
2017,11,PHEV,1040
2017,11,Petrol,16273
2017,12,BEV,556
2017,12,CNG,87
2017,12,Diesel,11123
2017,12,Diesel Hybrid,35
2017,12,Hydrogen,1
2017,12,PHEV,1173
2017,12,Petrol,18018
2018,1,BEV,262
2018,1,CNG,91
2018,1,Diesel,7550
2018,1,Diesel Hybrid,34
2018,1,Hydrogen,20
2018,1,PHEV,877
2018,1,Petrol,13217
2018,2,BEV,418
2018,2,CNG,100
2018,2,Diesel,7007
2018,2,Diesel Hybrid,10
2018,2,LPG,2
2018,2,PHEV,848
2018,2,Petrol,13961
2018,3,BEV,695
2018,3,CNG,91
2018,3,Diesel,8339
2018,3,Diesel Hybrid,39
2018,3,PHEV,1154
2018,3,Petrol,18008
2018,4,BEV,305
2018,4,CNG,146
2018,4,Diesel,7451
2018,4,Diesel Hybrid,35
2018,4,Hydrogen,2
2018,4,PHEV,1237
2018,4,Petrol,17249
2018,5,BEV,283
2018,5,CNG,70
2018,5,Diesel,8588
2018,5,Diesel Hybrid,10
2018,5,Hydrogen,1
2018,5,PHEV,1133
2018,5,Petrol,17628
2018,6,BEV,596
2018,6,CNG,98
2018,6,Diesel,9420
2018,6,Diesel Hybrid,17
2018,6,Hydrogen,1
2018,6,PHEV,1376
2018,6,Petrol,19981
2018,7,BEV,241
2018,7,CNG,80
2018,7,Diesel,7616
2018,7,Diesel Hybrid,58
2018,7,PHEV,1134
2018,7,Petrol,16162
2018,8,BEV,325
2018,8,CNG,60
2018,8,Diesel,6214
2018,8,Diesel Hybrid,88
2018,8,LPG,1
2018,8,PHEV,1157
2018,8,Petrol,13621
2018,9,BEV,547
2018,9,CNG,18
2018,9,Diesel,5909
2018,9,Diesel Hybrid,96
2018,9,Hydrogen,1
2018,9,PHEV,1233
2018,9,Petrol,12705
2018,10,BEV,453
2018,10,CNG,11
2018,10,Diesel,6029
2018,10,Diesel Hybrid,129
2018,10,PHEV,1405
2018,10,Petrol,14690
2018,11,BEV,521
2018,11,CNG,14
2018,11,Diesel,7177
2018,11,Diesel Hybrid,141
2018,11,Hydrogen,1
2018,11,PHEV,1364
2018,11,Petrol,14817
2018,12,BEV,767
2018,12,CNG,24
2018,12,Diesel,8805
2018,12,Diesel Hybrid,210
2018,12,Hydrogen,3
2018,12,PHEV,1550
2018,12,Petrol,16105
2019,1,BEV,444
2019,1,CNG,12
2019,1,Diesel,6704
2019,1,Diesel Hybrid,176
2019,1,PHEV,1125
2019,1,Petrol,12542
2019,2,BEV,752
2019,2,CNG,22
2019,2,Diesel,6562
2019,2,Diesel Hybrid,108
2019,2,PHEV,1128
2019,2,Petrol,13786
2019,3,BEV,1918
2019,3,CNG,58
2019,3,Diesel,7187
2019,3,Diesel Hybrid,179
2019,3,Hydrogen,1
2019,3,PHEV,1624
2019,3,Petrol,18299
2019,4,BEV,1050
2019,4,CNG,115
