year,month,count
2016,1,20527
2016,2,22686
2016,3,29180
2016,4,28678
2016,5,26018
2016,6,31280
2016,7,26069
2016,8,21876
2016,9,26190
2016,10,23374
2016,11,26357
2016,12,35295
2017,1,19651
2017,2,22819
2017,3,30708
2017,4,25840
2017,5,28280
2017,6,32088
2017,7,24734
2017,8,23129
2017,9,24638
2017,10,24630
2017,11,26676
2017,12,30993
2018,1,22051
2018,2,22346
2018,3,28326
2018,4,26425
2018,5,27713
2018,6,31489
2018,7,25291
2018,8,21466
2018,9,20509
2018,10,22717
2018,11,24035
2018,12,27464
2019,1,21003
2019,2,22358
2019,3,29266
2019,4,28323
2019,5,28214
2019,6,28404
2019,7,25223
2019,8,19526
2019,9,24223
2019,10,26035
2019,11,24222
2019,12,34653
2020,1,18956
2020,2,19170
2020,3,17760
2020,4,9282
2020,5,13914
2020,6,24517
2020,7,22441
2020,8,16280
2020,9,21434
2020,10,21040
2020,11,22780
2020,12,29321
2021,1,15422
2021,2,16220
2021,3,25282
2021,4,22001
2021,5,19980
2021,6,26024
2021,7,19245
2021,8,16449
2021,9,19673
2021,10,15058
2021,11,18806
2021,12,24389
2022,1,16144
2022,2,16682
2022,3,21727
2022,4,15602
2022,5,18466
2022,6,21286
2022,7,15559
2022,8,16406
2022,9,21017
2022,10,17193
2022,11,21347
2022,12,24505
2023,1,16647
2023,2,17238
2023,3,25331
2023,4,18136
2023,5,21590
2023,6,25173
2023,7,18418
2023,8,19034
2023,9,21678
2023,10,20272
2023,11,22018
2023,12,26858
2024,1,15386
2024,2,18576
2024,3,23758
2024,4,19865
2024,5,21240
2024,6,22851
2024,7,18191
2024,8,16035
2024,9,20173
2024,10,18653
2024,11,19795
2024,12,24987
2025,1,14983
2025,2,16286
2025,3,21828
2025,4,18610
2025,5,20028
2025,6,22671
2025,7,18548
2025,8,16266
2025,9,19976
2025,10,18556
2025,11,19642
2025,12,26466
2026,1,14202
2026,2,15522
